"id","Country","State","Name","Type","ElevationMeters","ElevationFeets","LastEruptionDate","LastEruptionVEI","Latitude","Longitude"
"1","Canada","British Columbia","Silverthrone Caldera","Caldera",2865,9400,"Unknown","Unknown",51.43,-126.3
"2","Canada","British Columbia","Franklin Glacier Volcano","Caldera",2252,7388,"Pliocene","Unknown",51.33,-125.04
"3","Canada","British Columbia","Bridge River Cones","Volcanic field",2500,8500,"Unknown","Unknown",50.8,-123.4
"4","Canada","British Columbia","Mount Meager","Complex volcano",2645,8678,"2,350 BP","5",50.63,-123.5
"5","Canada","British Columbia","Ring Mountain","Tuya",2192,7192,"Unknown","Unknown",50.13,-123.17
"6","Canada","British Columbia","Mount Cayley","Stratovolcano",2385,7825,"20,000 BP","Unknown",50.12,-123.28
"7","Canada","British Columbia","Brandywine Mountain","Volcanic plug",2213,7260,"Pleistocene","Unknown",50.11,-123.22
"8","Canada","British Columbia","Mount Fee","Volcanic plug",2162,7093,"Pleistocene","Unknown",50.08,-123.24
"9","Canada","British Columbia","Mount Brew","Subglacial volcano",1757,5764,"Pleistocene","Unknown",50.04,-123.19
"10","Canada","British Columbia","The Black Tusk","Stratovolcano",2319,7608,"Pleistocene","Unknown",49.97,-123.04
"11","Canada","British Columbia","Cinder Cone","Cinder cone",1910,6266,"Holocene","Unknown",49.97,-123.01
"12","Canada","British Columbia","Clinker Peak","Stratovolcano",1992,6535,"9,000 BP","Unknown",49.93,-123.04
"13","Canada","British Columbia","Mount Price","Stratovolcano",2052,6732,"9,000 BP","Unknown",49.92,-123.03
"14","Canada","British Columbia","Garibaldi Lake","Volcanic field",2316,7598,"Unknown","Unknown",49.92,-123.03
"15","Canada","British Columbia","The Table","Tuya",2021,6631,"Pleistocene","Unknown",49.9,-123.01
"16","Canada","British Columbia","Mount Garibaldi","Stratovolcano",2678,8786,"10,700-9,300","3?",49.84,-123
"17","Canada","British Columbia","Opal Cone","Cinder cone",1736,5696,"9,300 BP","Unknown",49.83,-123.97
"18","Canada","British Columbia","The Castle","Subglacial volcano",510,1670,"Pleistocene","Unknown",49.69,-123.02
"19","Canada","British Columbia","Coquihalla Mountain","Stratovolcano",2157,7077,"Miocene","Unknown",49.525,-121.06
"20","Canada","British Columbia","Watts Point","Subglacial volcano",240,800,"90,000 BP","Unknown",49.39,-123.13
"21","USA","Washington","Mount Baser","Stratovolcano",3286,10781,"1880","2",48.777,-121.813
"22","USA","Washington","Glacier Peak","Stratovolcano",3213,10541,"1700 ± 100 years","2",48.112,-121.113
"23","USA","Washington","Mount Rainier","Stratovolcano",4392,14411,"1894","1?",46.853,-121.76
"24","USA","Washington","Goat Rocks","Stratovolcano",2494,8184,"730,000 BP","Unknown",46.29,-121.24
"25","USA","Washington","Mount Adams","Stratovolcano",3742,12277,"950","2",46.206,-121.49
"26","USA","Washington","Mount St. Helens","Stratovolcano",2549,8363,"2008","2",46.2,-122.18
"27","USA","Washington","Indian Heaven","Shield volcano",1806,5925,"8260 BP ± 100 years","Unknown",45.93,-121.82
